,Individual,Population,Cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
11,individual11,GBR,22,-0.0109549459240986,0.0271225366185828,-0.0123754791694023,-0.017537005225427,-0.000649087046398097,0.00367600365817827,0.0156353537173279,0.00166015417050443,-0.00364622496648805,0.0123412711304971,0.00851109789138676,-0.0146623798720367,0.0174999070766056,0.00849759060846205,0.000635147017355387,0.00204396690961321,0.00561674822052874,-0.0157135525291748,-0.0235312599011177,-0.015690287287531,0.0210720860993308,0.00686497889848342,0.0167072153251203,-0.0215473461778164,0.0134203487449241
12,individual12,GBR,22,-0.0111130634409172,0.0270919739454028,-0.0131445024222698,-0.0197185166762611,-0.00156313761024547,9.87634204016747e-05,0.0113885049958165,-0.000560508883067966,-0.00420685817370609,0.027867648765413,0.00732495554938922,-0.0248996897158142,0.0109459259352208,0.0221228979937886,-0.00115506208768336,0.000208775227228007,-0.00668142507556133,-0.0198156879335412,-0.0221168402520274,0.0095132574473029,0.00493850336249927,-0.00205016720977513,0.00755177003462252,-0.0126247673749082,0.0173610602863489
13,individual13,GBR,22,-0.0113694827731505,0.0270540845534361,-0.0119303991013639,-0.0175989603853572,-0.00134413042155021,0.00133361385350355,0.0198083856905191,-0.00300463130189316,-0.00555456567974768,0.0208068430210482,0.00692670497713429,-0.0200667592456766,0.0174372007253746,0.00872715515114305,-0.0144038821131029,-0.00517633331028123,-0.00503513422987659,-0.00957024947920902,-0.0326155725451608,-0.00711130076637454,0.0123556941753371,0.00983083862111475,0.00256012743304712,-0.0320722579405881,0.0202854335803017
14,individual14,GBR,22,-0.0111071879220123,0.0273016870150098,-0.011124107208998,-0.0156215692689684,0.000820227344795837,0.00159593987603712,0.0178464067428731,0.00457098399719211,0.0020018353750404,0.00623984379600508,0.00533575646612941,-0.0191533638571584,0.0194371162211096,0.0123915719615424,-0.00462722061313911,0.00471423866454648,-0.00363292659284241,-0.0304698666098076,-0.0128021952290081,-0.00903654112819473,0.0103120459125548,0.0228486001833587,-0.00827967900421339,-0.0202063394989911,0.00814778681739773
15,individual15,GBR,22,-0.0113967042606534,0.0266927743260983,-0.0115411604888141,-0.0166302869829234,0.000660156431286302,0.00259516999346035,0.0160423974452043,0.00270007036579557,0.00106353261054689,0.035163812112765,-0.00185037217203086,-0.0180568482374495,0.0158832273721483,0.0193681942743227,-0.00396409058080972,0.00731687539320384,-0.00160685045805742,-0.0281733069348796,-0.0234100681890774,0.0040787602122795,0.0121196722936794,0.0223004938820164,-0.00443217232139141,-0.0188444344118071,0.0140208069022639
16,individual16,GBR,22,-0.0109862218365429,0.0273588640382499,-0.0126778962913853,-0.0175873615296036,-0.00188248960175935,0.000485610082885229,0.0124631719268585,-0.00257507512397447,0.000273966307477888,0.0141820629752555,0.0157962630494292,-0.0152014891519106,0.0217201333823146,0.0129467567401818,-0.00656477291737185,0.00691430096621788,-0.00741281938795205,-0.018961562793997,-0.016110587619517,-0.0104066027714257,0.0119058377872485,0.0116976034448078,-0.00549525798708292,-0.0201700569354551,0.0277816193895471
17,individual17,GBR,22,-0.0109468111239805,0.0272903913063824,-0.010704526721376,-0.0173337369031056,0.00271761471722696,0.00308768274249731,0.0105436890858169,0.0012418073108579,0.00594834855639775,0.0297061324802667,0.000715295736356218,-0.0148207872264414,0.0129100457535024,0.00967695963698975,0.00276015688400172,-0.00260085428669042,0.00049296461113473,-0.0318638372211314,-0.020267947168592,-0.01001618018619,0.0136988495993104,0.00670670230097944,-0.000804363882055443,-0.0292422998544537,0.0092285555988452
18,individual18,GBR,22,-0.0106311525600716,0.0278941171721133,-0.0106949560362621,-0.0180981788487114,-0.0015380650774451,0.00166956957827593,0.0126624363398302,0.00084802000290467,0.0085233673306256,0.0345573739747354,0.00251751307066468,-0.0198954127319886,-4.369421075545e-06,0.0125857915776161,-0.00516046780203733,-0.0102559363213238,-0.00803796046978248,-0.00987632829911714,-0.019649736840604,-0.0095272549471961,0.00896344858633718,-0.00386099465092994,0.00752621149416436,-0.0140326856091478,0.00880151022656954
19,individual19,GBR,22,-0.0111057588182849,0.0275446046158424,-0.0117189593720774,-0.0190667462656131,0.00258903438211429,0.00269758475834455,0.0153114193756477,0.00113635122808383,-0.00912836917355653,0.0244430754124757,-0.00672298381398146,-0.0210597635965885,0.021567420595646,0.00866590309655315,-0.00447957086207618,-0.0063799327008322,0.00177905386674495,-0.0338662995786768,-0.0390071018707271,-0.00676771841881,0.0228771835931798,0.0117322577397942,0.0143119759967812,-0.0345260421897115,0.00451197794973511
20,individual20,GBR,22,-0.0111811113501053,0.0266636545167568,-0.0124869890398769,-0.0169384156818595,0.00433697513776062,0.00072527424347156,0.0139556321934525,-0.00299891383915236,-0.00189763516399924,0.0132263342031712,-0.0045122413211452,-0.0127026596510575,0.021104310486452,0.0174103035809179,0.00311416087891243,-0.0135733170349448,0.00451332125752689,-0.0369118317431497,-0.0284437246604539,-0.00911406454465916,0.0157509651112941,0.0239760142333317,0.00906545139291018,-0.0376497805412375,0.00299352214697368
21,individual21,GBR,22,-0.0109013391935497,0.026149003089607,-0.0116727758991522,-0.0164608668340083,-0.00122837924855553,0.000931523413177406,0.00848231362627792,0.000271279160071368,0.00622952373971259,0.0382036620569073,0.00137286708472595,-0.02780888044139,0.00788774955583479,0.00891447495283227,-0.00896347108138933,-0.00703823361421237,-0.00142964585852963,-0.0109059511433834,-0.0170528017628076,-0.000548120793770903,0.0166627469214095,0.000720116293881973,0.0122103269531883,-0.0249776060875672,0.0146065506569107
22,individual22,GBR,22,-0.0111166638308536,0.0271857701341452,-0.0134987484889512,-0.0177814814274881,0.00437488270605195,0.000188621826566075,0.016531462874365,0.00176368119957978,-0.00389870839220303,0.00167212348414794,0.000771910919927032,-0.0103538595201333,0.0205272326331105,0.0203177775978329,0.000414282946248266,-0.0204770769683051,0.00268415808478126,-0.0355185201195678,-0.036351385709918,-0.0036521192111049,0.0212430411957704,0.021047662606478,0.0030424106990856,-0.0299091052983083,0.00953186582954866
23,individual23,GBR,22,-0.0113414760114136,0.0279272725666291,-0.0127071580465712,-0.0186414428599318,0.00202706850952683,0.00103168586804165,0.0110206791864335,-0.000743973758691014,-0.0116239530177875,0.0217410493926453,-0.00536182990011763,-0.0236097018990721,0.0267570050681821,0.016340986307799,-0.0018287974234298,-0.00872959574632493,-0.00384667334026046,-0.0418076518514789,-0.0442655440748699,-0.00465128336271075,0.0236747021040077,0.0133827551240075,0.0135590628265757,-0.0459737298908876,0.00109298532046314
24,individual24,GBR,22,-0.0113981300633001,0.026918430475918,-0.0119266381884434,-0.0172385061386003,0.00162320339400168,0.00307668425247235,0.014507688561263,0.00184211084586738,-0.00658127544552901,0.0163613153075267,0.0126222469147505,-0.0217713302828929,0.0085734738463195,0.0152647987222196,-0.00773895313550764,0.00511323673004725,-0.0142234377718168,-0.015638341930183,-0.013442192059626,-0.00269016186894563,0.00855094683286083,0.00585773697830002,0.00533934759468954,-0.0211851305515695,0.0180870874617009
25,individual25,GBR,22,-0.0112957126231424,0.0270044306745223,-0.0122727246987094,-0.0164354253464213,0.00160947417598322,0.00193629670294146,0.0119183418901089,0.000678558440250756,-0.0103707276610679,0.025394601866911,0.0115412393117694,-0.016021461516055,0.00779179949690712,0.0181013988100289,-0.00982695130838733,-0.00788103261824683,0.00206744167492153,-0.0097683264593842,-0.0167762191475761,-0.00934424395964912,0.00399857926118234,-0.000827438317285785,0.0105253560873617,-0.0080211332762846,8.8083381017547e-05
26,individual26,GBR,22,-0.0102831638435081,0.027455383269819,-0.0113374785203828,-0.0172303649450188,0.00460980817649648,-0.000714171059014584,0.0138356889348906,0.00285943044341725,-0.0068032554092902,0.00855440640245675,-0.00962977791424102,-0.0152777119033548,0.0298262069129449,0.0180269173246957,0.00659610224497213,-0.00672810711495859,0.0040765677696792,-0.038744175786782,-0.032539908584653,-0.0179571129997908,0.0162421168455807,0.0225104663488125,0.00233447620200095,-0.0454581640457268,0.0125355276287617
